2016-03-18-19-31-08 renren-licai  production 10.4.30.145 increment
2016-03-25-17-32-13 renren-licai 38041 staging 10.4.37.233
2016-03-25-17-44-42 renren-licai 38089 staging 10.4.37.233
2016-03-25-17-51-11 renren-licai 38089 production 10.4.30.145
2016-03-25-17-52-31 renren-licai 38089 production 10.4.30.146
2016-03-25-17-53-30 renren-licai 38089 production 10.4.30.147
2016-04-12-12-32-52 renren-licai 38089 test 10.2.52.13
2016-04-12-12-47-27 renren-licai 38089 test 10.2.52.13
2016-04-12-12-56-18 renren-licai 39580 test 10.2.52.13
2016-04-12-13-08-47 renren-licai 39580 production 10.2.52.13
